iteration,temps_fourmis_ms,temps_sync_ms,temps_evap_ms,temps_update_ms,food_quantity
325,0.414583,4.280458,2.617959,0.008583,0
326,0.407375,4.555917,2.625042,0.008250,0
327,0.405084,4.481708,2.586875,0.008458,0
328,0.384250,4.334917,2.589041,0.008542,0
329,0.393125,4.412083,2.692709,0.007667,0
330,0.388000,4.358125,2.523000,0.015542,0
331,0.370958,4.352708,2.572500,0.006333,0
332,0.411750,4.355958,2.624333,0.008125,0
333,0.389458,4.606667,2.537625,0.008125,0
334,0.371417,4.405875,2.472208,0.008292,0
335,0.406542,4.350666,2.578542,0.008000,0
336,0.391667,4.357375,2.655334,0.008750,0
337,0.350250,4.703250,2.708000,0.006875,0
338,0.403334,4.334584,2.513708,0.006458,0
339,0.396125,4.417667,2.687250,0.007958,0
340,0.390375,4.483458,2.570958,0.008042,0
341,0.371250,4.463458,3.423375,0.006667,0
342,0.383167,4.256917,2.638250,0.007958,0
343,0.396125,5.230792,3.604542,0.006084,0
344,0.380833,4.843959,2.645333,0.008042,0
345,0.859584,4.505750,2.563916,0.006833,0
346,0.371292,5.892167,3.829250,0.206709,0
347,0.392208,4.790500,2.836875,0.006916,0
348,0.440917,4.496708,2.547208,0.006334,0
349,0.351959,5.682667,2.537958,0.006667,0
350,0.402042,4.750125,2.659667,0.007000,0
351,0.392167,5.222375,2.656750,0.008083,0
352,0.375916,5.706958,2.580083,0.008333,0
353,0.396875,4.990459,2.586417,0.008125,0
354,0.398333,5.244625,3.884792,0.006334,0
355,0.364375,4.685041,2.697459,0.008291,0
356,0.381583,4.965708,2.663917,0.007917,0
357,0.414292,4.436542,2.632250,0.007750,0
358,0.379375,4.454542,2.548333,0.007666,0
359,0.387875,4.256583,2.676709,0.007833,0
360,0.394375,4.486500,2.658667,0.005708,0
361,0.396166,4.597375,2.683292,0.007166,0
362,0.360458,4.386708,2.584459,0.006416,0
363,0.374500,4.387875,2.616709,0.008333,0
364,0.402209,4.381875,2.699833,0.007375,0
365,0.391291,4.588917,2.701833,0.006584,0
366,0.388292,4.648542,3.685625,0.007000,0
367,0.439166,4.543791,2.721458,0.006959,0
368,0.421792,4.370542,2.681833,0.007375,0
369,0.386333,5.517500,2.602792,0.008208,0
370,0.411667,4.734833,2.581750,0.006291,0
371,0.394666,4.511250,2.604625,0.009500,0
372,0.420291,4.450834,2.670708,0.008084,0
373,0.368292,4.483583,2.595541,0.007417,0
374,0.380709,4.522416,2.441917,0.006167,0
375,0.423125,4.446292,2.600834,0.008041,0
376,0.402167,4.908417,2.724333,0.008750,0
377,0.377708,5.234958,2.610709,0.008042,0
378,0.398333,4.528541,2.549792,0.008417,0
379,0.410584,4.413250,2.610042,0.008417,0
380,0.386750,4.355833,2.666125,0.007708,0
381,0.381833,4.505041,2.535584,0.005500,0
382,0.353083,4.498792,2.599583,0.008208,0
383,0.383625,4.280125,2.659667,0.008167,0
384,0.387667,4.360625,2.601167,0.007750,0
385,0.387833,4.406666,2.617958,0.007750,0
386,0.389917,4.266958,2.601250,0.008084,0
387,0.384000,7.020042,2.799666,0.007959,0
388,0.395541,4.528917,2.715167,0.008125,0
389,0.394250,4.538500,2.512417,0.014333,0
390,0.360208,4.542667,2.617625,0.008208,0
391,0.425084,4.724250,2.687292,0.007125,0
392,0.382959,4.446250,2.653791,0.007458,0
393,0.364458,4.399583,2.542500,0.005958,0
394,0.396208,4.348459,2.573625,0.008417,0
395,0.388375,4.423541,2.673792,0.007750,0
396,0.410458,4.438209,2.545417,0.008125,0
397,0.389333,4.333292,2.557500,0.007958,0
398,0.409125,4.331000,2.692292,0.008125,0
399,0.396958,4.505458,2.655750,0.008083,0
400,0.400000,4.600542,2.852417,0.012958,0
401,0.434250,4.402334,2.553500,0.008292,0
402,0.421333,4.442083,2.699833,0.007750,0
403,0.387708,4.458875,2.546500,0.008125,0
404,0.341834,9.689458,2.683333,0.007708,0
405,0.384291,4.492625,2.513833,0.006208,0
406,0.400875,10.544875,2.869250,0.008084,0
407,0.400083,4.536750,3.566416,0.009000,0
408,0.400083,4.541291,2.698958,0.007250,0
409,0.414333,4.398666,2.756916,0.007958,0
410,0.409708,4.506042,2.762333,0.008083,0
411,0.389958,4.599375,2.659625,0.006417,0
412,0.399375,4.320458,2.553709,0.006041,0
413,0.395333,4.482417,2.649542,0.008250,0
414,1.769084,5.817042,2.661667,0.007875,0
415,0.369834,5.618333,2.611500,0.005708,0
416,0.418833,4.814666,3.570292,0.005042,0
417,0.398666,4.505208,2.886208,0.007833,0
418,0.470000,4.665292,2.661833,0.008083,0
419,0.432375,6.732500,2.695125,0.009041,0
420,0.423250,4.448791,2.563083,0.006625,0
421,0.390250,4.482666,2.605792,0.006750,0
422,0.475917,4.707833,2.825250,0.006792,0
423,0.425291,5.194125,2.813958,0.006917,0
424,0.395167,4.787625,2.789208,0.006916,0
425,0.418417,4.766750,2.745250,0.006875,0
426,0.397708,4.692125,2.679541,0.006625,0
427,0.416125,4.643417,2.844084,0.006875,0
428,0.400000,4.696167,2.765667,0.006667,0
429,0.397375,8.400167,2.829959,0.006667,0
430,0.425542,4.840500,2.800083,0.006708,0
431,0.401584,4.831584,2.700125,0.006833,0
432,0.466375,4.635167,2.689500,0.006959,0
433,0.434583,4.792292,2.820750,0.006958,0
434,0.397750,4.723834,2.801917,0.007250,0
435,0.423042,4.703125,4.737500,0.005292,0
436,0.394917,4.638125,2.642542,0.007625,0
437,0.415416,4.611083,2.810791,0.007625,0
438,0.412417,4.560250,2.725583,0.008208,0
439,0.442000,4.491458,2.575750,0.006417,0
440,0.390500,4.474292,2.601209,0.013542,0
441,0.409000,4.412417,2.725459,0.007917,0
442,0.423000,4.601917,2.652708,0.007834,0
443,0.417500,4.519000,2.486917,0.008417,0
444,0.462500,4.489917,2.554458,0.007958,0
445,0.415750,4.244708,2.697042,0.008167,0
446,0.372625,4.442417,2.667875,0.008167,0
447,0.404208,4.429709,2.527250,0.005291,0
448,0.411000,4.504541,2.622042,0.008166,0
449,0.410667,4.476208,2.669208,0.008625,0
450,0.399667,4.462625,2.582125,0.006625,0
451,0.398167,4.559958,2.650041,0.008208,0
452,0.409041,4.289917,2.638000,0.008000,0
453,0.392958,4.490791,2.617375,0.008209,0
454,0.395958,4.482250,2.536959,0.007167,0
455,0.410000,4.528916,2.554875,0.008042,0
456,0.395791,4.355083,2.711417,0.007792,0
457,0.358750,4.389709,2.620458,0.014583,0
458,0.411542,4.492375,2.589708,0.008500,0
459,0.392959,4.540084,2.594167,0.008333,0
