iteration,temps_border_ms,temps_move_ms,temps_migrate_ms,temps_evap_ms,food_quantity
422,0.094209,0.136541,0.190500,0.032500,0
423,0.011291,0.137084,0.105541,0.031208,0
424,0.011583,0.141125,0.111792,0.028583,0
425,0.011500,0.139583,0.108875,0.031500,0
426,0.011917,0.138959,0.106708,0.031167,0
427,0.011625,0.141875,0.113417,0.029667,0
428,0.014667,0.148750,0.121542,0.030875,0
429,0.011917,0.179084,0.149875,0.030291,0
430,0.011625,0.141875,0.112125,0.030708,0
431,0.012291,0.141166,0.110333,0.030791,0
432,0.012167,0.139792,0.109750,0.030333,0
433,0.012708,0.139000,0.109209,0.030958,0
434,0.011833,0.140750,0.110959,0.030500,0
435,0.012625,0.139875,0.109833,0.030583,0
436,0.012417,0.155583,0.149000,0.027708,0
437,0.022250,0.135208,0.106666,0.030708,0
438,0.011875,0.133333,0.103250,0.029833,0
439,0.012291,0.148250,0.116791,0.027916,0
440,0.013417,0.145958,0.117334,0.030000,0
441,0.012666,0.134000,0.105292,0.031375,0
442,0.012083,0.131833,0.102791,0.029958,0
443,0.011334,0.132792,0.101292,0.030750,0
444,0.012000,0.132667,0.103333,0.031209,0
445,0.012083,0.132625,0.103500,0.031500,0
446,0.011375,0.132292,0.102208,0.036959,0
447,0.011875,0.133500,0.103583,0.031166,0
448,0.011458,0.132375,0.102333,0.030959,0
449,0.011458,0.145708,0.115125,0.030083,0
450,1.918625,0.131042,2.057417,0.020167,0
451,0.017833,0.221084,0.196583,0.029917,0
452,0.012041,0.148125,0.117792,0.030291,0
453,0.017417,0.146917,0.121666,0.030958,0
454,0.011792,0.146500,0.116792,0.030959,0
455,0.011625,0.146166,0.116250,0.030750,0
456,0.020334,0.148125,0.128333,0.031375,0
457,0.011375,0.145166,0.113958,0.030375,0
458,0.011542,0.456541,0.429167,0.028917,0
459,0.012083,0.149375,0.119625,0.032250,0
460,0.017833,0.148625,0.125666,0.031792,0
461,0.012583,0.142000,0.113125,0.030250,0
462,0.011417,0.144916,0.115333,0.031458,0
463,0.011875,0.145667,0.115458,0.029500,0
464,0.011708,0.146666,0.116542,0.031917,0
465,0.012416,0.146334,0.115084,0.031125,0
466,0.011875,0.573750,0.549166,0.024500,0
467,0.013041,0.153000,0.123333,0.031541,0
468,0.011958,0.144500,0.115375,0.031792,0
469,0.011208,0.145084,0.114542,0.030875,0
470,0.011917,0.145583,0.117208,0.031667,0
471,0.011667,0.147792,0.118666,0.031458,0
472,0.011917,0.145542,0.116542,0.032042,0
473,0.120292,0.198833,0.223000,0.768833,0
474,0.018333,0.210959,0.189625,0.031583,0
475,0.011791,0.156250,0.127541,0.031500,0
476,0.012458,0.153042,0.123833,0.032417,0
477,0.022042,0.150625,0.125166,0.030375,0
478,0.011167,0.143917,0.115625,0.031583,0
479,0.011209,0.144541,0.113875,0.031292,0
480,0.011083,0.144417,0.114000,0.031125,0
481,0.011834,0.145708,0.117583,0.031250,0
482,0.011209,0.142792,0.113708,0.031917,0
483,0.018375,0.203917,0.196791,0.028333,0
484,0.018375,0.160166,0.133791,0.032292,0
485,0.011875,0.149708,0.120458,0.032666,0
486,0.011833,0.150875,0.130250,0.028083,0
487,0.022958,0.151875,0.128291,0.030500,0
488,0.011583,0.144583,0.115375,0.031375,0
489,0.012125,0.143250,0.114750,0.031250,0
490,0.055083,0.143167,0.127208,0.031958,0
491,0.012167,0.148666,0.119458,0.031500,0
492,0.012083,0.144167,0.115375,0.030500,0
493,0.012125,0.152167,0.126959,0.031041,0
494,0.012458,0.146125,0.116375,0.046667,0
495,0.012250,0.147916,0.117083,0.032250,0
496,0.012083,0.145791,0.115542,0.032083,0
497,0.012500,0.142125,0.113667,0.031625,0
498,0.012333,0.144084,0.113083,0.032084,0
499,0.012625,0.138666,0.110417,0.031416,0
500,0.012459,0.140542,0.110875,0.031625,0
501,0.012291,0.139250,0.111208,0.031083,0
502,0.011834,0.144041,0.113167,0.031666,0
503,0.012334,0.142125,0.113959,0.031042,0
504,0.011417,0.142083,0.112000,0.017083,0
505,0.012250,0.142666,0.115709,0.031834,0
506,0.012666,0.143333,1.693792,0.014709,0
507,0.017792,0.145416,0.115208,0.031708,0
508,0.011375,0.140625,0.110958,0.031583,0
509,0.012125,0.140083,0.112209,0.066500,0
510,0.021708,0.144208,0.106250,0.031500,0
511,0.014875,0.176417,0.151666,0.029917,0
512,0.012041,0.145750,0.116333,0.032083,0
513,0.011458,0.135584,0.104917,0.031167,0
514,0.012584,0.136709,0.108125,0.032291,0
515,0.019958,0.138000,0.101084,0.032084,0
516,0.051084,0.133500,0.125917,0.031917,0
