iteration,temps_fourmis_ms,temps_sync_ms,temps_evap_ms,temps_update_ms,food_quantity
248,1.542000,5.111000,2.869000,0.008000,0
249,0.796000,4.925000,2.952000,0.009000,0
250,1.271000,5.146000,2.871000,0.009000,0
251,0.636000,5.075000,3.248000,0.007000,0
252,0.638000,4.813000,2.847000,0.008000,0
253,0.678000,5.592000,3.093000,0.009000,0
254,0.684000,4.692000,2.904000,0.018000,0
255,0.615000,5.569000,2.990000,0.012000,0
256,0.651000,5.106000,3.237000,0.087000,0
257,0.686000,4.937000,3.016000,0.009000,0
258,0.672000,5.349000,3.150000,0.009000,0
259,0.618000,4.909000,3.248000,0.009000,0
260,0.652000,5.645000,2.972000,0.008000,0
261,0.661000,5.536000,2.888000,0.007000,0
262,0.720000,4.943000,2.847000,0.008000,0
263,0.912000,4.918000,3.357000,0.008000,0
264,0.892000,4.849000,2.812000,0.008000,0
265,0.827000,5.306000,3.733000,0.007000,0
266,0.745000,6.184000,3.019000,0.009000,0
267,0.653000,5.265000,3.334000,0.008000,0
268,0.756000,4.685000,3.450000,0.008000,0
269,0.581000,5.300000,3.489000,0.008000,0
270,0.767000,4.794000,3.169000,0.008000,0
271,0.793000,5.232000,2.864000,0.008000,0
272,0.758000,4.675000,3.339000,0.009000,0
273,1.129000,6.368000,2.835000,0.015000,0
274,0.669000,5.443000,3.184000,0.010000,0
275,1.783000,6.616000,3.593000,0.006000,0
276,0.758000,4.660000,2.968000,0.010000,0
277,0.618000,5.015000,3.395000,0.011000,0
278,0.798000,4.784000,2.937000,0.009000,0
279,1.048000,5.281000,2.785000,0.007000,0
280,0.618000,5.447000,3.173000,0.008000,0
281,0.647000,5.370000,2.875000,0.007000,0
282,0.767000,6.690000,3.148000,0.009000,0
283,0.613000,4.729000,3.558000,0.010000,0
284,0.676000,6.882000,2.860000,0.006000,0
285,0.781000,5.321000,2.845000,0.006000,0
286,0.640000,5.132000,2.955000,0.007000,0
287,0.777000,5.125000,2.773000,0.012000,0
288,0.644000,4.781000,2.812000,0.018000,0
289,0.761000,23.664000,14.610000,0.008000,0
290,1.064000,11.453000,2.833000,0.009000,0
291,0.628000,4.662000,3.132000,0.007000,0
292,0.681000,4.649000,2.921000,0.008000,0
293,0.703000,5.205000,2.789000,0.009000,0
294,0.659000,5.192000,3.128000,0.008000,0
295,0.657000,4.686000,2.924000,0.009000,0
296,0.708000,5.158000,3.200000,0.007000,0
297,0.635000,4.760000,2.892000,0.007000,0
298,0.643000,5.658000,2.864000,0.009000,0
299,0.684000,4.919000,2.938000,0.008000,0
300,0.682000,4.552000,2.910000,0.006000,0
301,0.664000,4.730000,2.860000,0.016000,0
