iteration,temps_total_ms,temps_fourmis_ms,temps_evap_ms,temps_update_ms,temps_render_ms,food_quantity
490,16.719,2.589,0.302,0.002,13.816,0
491,16.452,2.607,0.295,0.002,13.538,0
492,16.653,3.954,0.304,0.002,12.356,0
493,16.804,3.946,0.350,0.002,12.468,0
494,16.543,2.610,0.306,0.002,13.609,0
495,16.871,3.585,0.306,0.002,12.940,0
496,16.438,2.590,0.300,0.002,13.530,0
497,16.819,3.812,0.311,0.002,12.658,0
498,16.667,2.579,0.321,0.002,13.751,0
499,16.655,2.611,0.304,0.002,13.726,0
500,16.485,2.606,0.307,0.002,13.559,0
501,16.875,3.880,0.303,0.002,12.652,0
502,16.501,2.591,0.309,0.002,13.587,0
503,16.816,3.696,0.308,0.001,12.769,0
504,16.789,2.593,0.316,0.002,13.863,0
505,16.523,3.836,0.313,0.002,12.333,0
506,16.609,2.605,0.313,0.002,13.675,0
507,16.522,2.602,0.305,0.002,13.600,0
508,16.814,3.373,0.312,0.002,13.096,0
509,16.474,2.591,0.309,0.001,13.559,0
510,16.826,3.780,0.311,0.002,12.697,0
511,16.663,2.619,0.303,0.002,13.725,0
512,16.667,2.609,0.307,0.002,13.739,0
513,16.639,2.620,0.301,0.002,13.703,0
514,16.517,2.593,0.308,0.002,13.603,0
515,16.828,3.810,0.312,0.002,12.665,0
516,16.500,2.582,0.318,0.002,13.584,0
517,16.769,3.837,0.319,0.002,12.571,0
518,16.659,2.614,0.312,0.002,13.718,0
519,16.662,2.637,0.299,0.001,13.713,0
520,16.507,2.600,0.301,0.002,13.594,0
521,16.814,3.793,0.303,0.002,12.678,0
522,16.557,2.645,0.307,0.002,13.590,0
523,16.783,3.480,0.308,0.002,12.952,0
524,16.629,2.595,0.308,0.001,13.712,0
525,16.641,2.633,0.299,0.001,13.696,0
526,16.518,2.612,0.296,0.002,13.598,0
527,16.813,3.620,0.304,0.002,12.848,0
528,16.642,2.608,0.336,0.002,13.679,0
529,16.664,2.627,0.304,0.002,13.718,0
530,16.553,2.627,0.305,0.016,13.594,0
531,16.770,3.825,0.305,0.002,12.600,0
532,16.529,2.614,0.324,0.001,13.575,0
533,16.799,3.952,0.331,0.002,12.476,0
534,16.515,2.616,0.311,0.002,13.572,0
535,16.828,3.711,0.317,0.002,12.760,0
536,16.619,2.635,0.309,0.002,13.660,0
537,16.516,2.594,0.308,0.002,13.601,0
538,16.862,3.567,0.313,0.002,12.943,0
539,16.453,2.607,0.312,0.001,13.521,0
540,16.818,3.737,0.309,0.002,12.735,0
541,16.518,2.636,0.331,0.002,13.536,0
542,16.648,3.978,0.308,0.002,12.322,0
543,16.724,3.623,0.301,0.002,12.755,0
544,16.523,2.646,0.311,0.002,13.289,0
545,16.836,3.760,0.314,0.003,12.518,0
546,16.610,2.613,0.321,0.001,13.541,0
547,16.697,2.641,0.309,0.002,13.653,0
548,16.493,2.672,0.311,0.001,13.360,0
549,16.812,3.778,0.317,0.002,12.675,0
550,16.679,2.623,0.317,0.001,13.578,0
551,16.638,2.590,0.309,0.002,13.727,0
552,16.538,2.636,0.302,0.002,13.588,0
553,16.851,3.806,0.304,0.002,12.697,0
554,16.444,2.611,0.304,0.002,13.514,0
555,16.861,3.563,0.306,0.002,12.954,0
556,16.722,2.603,0.303,0.002,13.802,0
557,16.374,3.904,0.306,0.002,12.132,0
558,16.651,3.981,0.303,0.003,12.327,0
559,16.965,3.684,0.300,0.002,12.940,0
560,16.337,3.974,0.303,0.002,12.025,0
561,16.897,3.802,0.311,0.002,12.746,0
562,16.426,2.624,0.342,0.002,13.436,0
563,16.683,3.975,0.313,0.002,12.361,0
564,16.647,3.846,0.307,0.001,12.454,0
565,16.957,3.554,0.317,0.003,13.048,0
566,16.505,3.793,0.304,0.002,12.368,0
567,16.658,2.598,0.324,0.002,13.718,0
568,16.542,2.630,0.310,0.002,13.587,0
569,16.757,3.470,0.309,0.005,12.941,0
570,16.429,2.557,0.308,0.002,13.550,0
571,16.878,2.084,0.300,0.002,14.470,0
572,16.603,1.892,0.236,0.001,14.456,0
573,16.691,1.997,0.223,0.001,14.440,0
574,16.713,2.185,0.255,0.001,14.248,0
