iteration,temps_fourmis_ms,temps_sync_ms,temps_evap_ms,temps_update_ms,food_quantity
354,1.913800,1.260200,2.488800,0.005700,0
355,2.012000,1.273000,2.553900,0.006000,0
356,1.793000,1.247100,2.724900,0.005800,0
357,1.750200,1.301800,2.666200,0.005700,0
358,1.759700,1.258400,2.473100,0.005700,0
359,1.812500,1.322100,2.519500,0.006900,0
360,1.765100,1.231500,2.470900,0.005700,0
361,1.770600,1.238400,2.403600,0.005800,0
362,1.875400,1.327000,2.476000,0.006000,0
363,1.724500,1.220300,2.480300,0.005600,0
364,1.780300,1.217700,2.785200,0.006000,0
365,1.874000,1.240400,2.455100,0.006100,0
366,1.681200,1.224100,2.487900,0.005600,0
367,1.750500,1.336500,2.536300,0.010000,0
368,1.743500,1.238200,2.419300,0.005600,0
369,1.761500,1.268700,2.447800,0.006100,0
370,1.964600,1.259600,2.421600,0.005800,0
371,1.777900,1.219000,2.474600,0.005900,0
372,1.789200,1.254600,3.048500,0.006200,0
373,1.798100,1.227900,2.453400,0.005600,0
374,1.790000,1.245500,2.479700,0.005500,0
375,1.886300,1.301800,2.388800,0.005800,0
376,1.755700,1.239200,2.470200,0.005600,0
377,1.822900,1.254900,2.716200,0.005900,0
378,1.731700,1.272800,2.500600,0.006000,0
379,1.765300,1.250900,2.504200,0.006000,0
380,1.964100,1.231000,2.663000,0.005600,0
381,1.776500,1.282700,2.443500,0.005900,0
382,1.810600,1.264500,2.536000,0.005800,0
383,1.762900,1.271900,2.444400,0.005800,0
384,1.827000,1.253700,2.518000,0.005900,0
385,1.858200,1.258800,2.515300,0.005900,0
386,1.914900,1.275300,2.460600,0.005600,0
387,1.787600,1.260600,2.726600,0.005700,0
388,1.878100,1.253700,2.595900,0.005700,0
389,1.754200,1.229600,2.410300,0.005700,0
390,1.850100,1.262200,2.491700,0.005600,0
391,1.797300,1.262700,2.478300,0.005600,0
392,1.680400,1.234600,2.822000,0.005500,0
393,1.898600,1.220300,2.438200,0.005800,0
394,1.911600,1.275800,2.458100,0.005800,0
395,1.952300,1.392500,2.880100,0.006100,0
396,1.958300,1.790500,2.735800,0.006000,0
397,2.424500,2.159900,2.952600,0.007100,0
398,1.868900,1.365000,3.596700,0.007800,0
399,1.857700,1.150500,2.399600,0.005300,0
400,1.770100,1.250800,2.538200,0.005700,0
401,1.948000,1.308200,2.589600,0.005800,0
402,1.733300,1.246400,2.499300,0.005800,0
403,1.821100,1.260100,3.038000,0.005900,0
404,1.748400,1.444400,2.413100,0.005600,0
405,2.098100,1.269600,2.460100,0.005500,0
406,1.814100,1.422800,2.655500,0.005600,0
407,1.785500,1.264500,2.458000,0.005500,0
408,1.813200,1.269900,3.034800,0.009000,0
409,2.105000,1.267500,2.427100,0.005600,0
410,1.825200,1.287500,2.478100,0.005800,0
411,1.795500,1.258900,2.753800,0.005800,0
412,1.796400,1.303900,2.523400,0.006400,0
413,1.830200,1.261100,2.522600,0.005700,0
414,1.867400,1.238400,2.468100,0.005700,0
415,1.830400,1.260100,2.494800,0.005700,0
416,1.871400,1.324500,2.822200,0.006200,0
417,1.788600,1.259400,2.507800,0.005700,0
418,1.817500,1.241500,2.507000,0.006100,0
419,1.813900,1.466500,2.502600,0.006000,0
420,1.805200,1.304200,2.467100,0.005500,0
421,1.798300,1.587700,2.434400,0.005600,0
422,1.880200,1.238500,2.494600,0.005800,0
423,1.779700,1.289000,2.904300,0.005600,0
424,1.771400,1.247000,2.678500,0.005800,0
425,1.668700,1.259700,2.385200,0.006100,0
426,2.314000,1.400100,2.565400,0.005500,0
427,1.959500,1.305700,2.708600,0.005700,0
428,1.891700,1.407100,2.741900,0.005700,0
429,1.979900,1.297800,2.817800,0.005800,0
430,1.753700,1.257400,2.758500,0.007000,0
431,1.811200,1.277500,2.477600,0.005800,0
432,1.758200,1.317100,2.407500,0.005600,0
433,2.015300,1.207900,2.413500,0.025200,0
434,2.083500,1.230000,2.416800,0.005500,0
435,1.884500,1.260400,2.688700,0.005400,0
436,1.781900,1.232300,2.492000,0.005800,0
437,1.845700,1.228100,2.600200,0.006000,0
438,2.039100,1.302100,2.349100,0.005400,0
439,1.808900,1.253100,2.415400,0.005800,0
440,1.776300,1.406200,2.745000,0.005300,0
441,1.796600,1.228900,2.483000,0.005800,0
442,1.765300,1.234500,2.520200,0.006700,0
443,1.887600,1.257000,2.460500,0.005600,0
444,1.781000,1.253700,2.455200,0.005600,0
445,1.769300,1.211900,2.669800,0.005600,0
446,1.752900,1.238600,2.442100,0.005600,0
447,1.741400,1.240100,2.379400,0.005700,0
448,1.971900,1.251300,2.431500,0.005500,0
449,1.737300,1.203100,2.378200,0.005500,0
450,1.763700,1.218600,2.958600,0.006300,0
451,1.814600,1.246500,2.510800,0.005900,0
452,1.823300,1.206000,2.416600,0.005700,0
453,2.032800,1.249200,2.595700,0.005600,0
454,1.774300,1.271300,2.468000,0.005800,0
455,1.670700,1.239500,2.497800,0.005500,0
456,1.752900,1.246700,2.479800,0.005500,0
457,1.741700,1.221800,2.424800,0.005900,0
458,1.869000,1.266700,2.420100,0.005600,0
459,1.889000,1.254000,2.419600,0.006200,0
460,1.799300,1.329700,2.479600,0.005800,0
461,1.778800,1.258700,2.772300,0.006000,0
462,1.781400,1.271700,2.459300,0.005900,0
463,1.899000,1.231500,2.463500,0.005800,0
464,1.824400,1.356200,2.490800,0.005600,0
465,1.755300,1.602800,2.866100,0.006800,0
466,2.308100,1.711300,3.324200,0.007000,0
467,2.525600,2.026200,3.037000,0.005900,0
