iteration,temps_total_ms,temps_fourmis_ms,temps_evap_ms,temps_update_ms,food_quantity
216,1.1620,1.0620,0.0990,0.0010,0
217,1.0520,0.9500,0.1020,0.0000,0
218,1.0600,0.9630,0.0970,0.0000,0
219,1.0560,0.9600,0.0960,0.0000,0
220,1.0360,0.9390,0.0960,0.0010,0
221,1.0310,0.9340,0.0960,0.0010,0
222,1.0350,0.9370,0.0970,0.0010,0
223,1.1710,1.0260,0.1440,0.0010,0
224,1.1940,1.0760,0.1180,0.0000,0
225,1.0720,0.9600,0.1110,0.0010,0
226,1.0510,0.9530,0.0970,0.0010,0
227,1.0400,0.9390,0.1000,0.0010,0
228,1.0590,0.9560,0.1010,0.0010,0
229,1.0490,0.9480,0.1000,0.0010,0
230,1.0790,0.9790,0.0990,0.0010,0
231,1.1790,1.0810,0.0970,0.0010,0
232,1.0380,0.9380,0.0990,0.0010,0
233,1.0350,0.9350,0.1000,0.0000,0
234,1.0380,0.9400,0.0970,0.0010,0
235,1.0270,0.9300,0.0960,0.0010,0
236,1.0360,0.9390,0.0970,0.0000,0
237,1.0340,0.9370,0.0960,0.0010,0
238,1.0390,0.9420,0.0970,0.0000,0
239,1.1230,1.0260,0.0970,0.0000,0
240,1.0440,0.9450,0.0980,0.0010,0
241,1.0540,0.9560,0.0970,0.0010,0
242,1.0320,0.9340,0.0980,0.0000,0
243,1.0380,0.9370,0.1000,0.0010,0
244,1.0470,0.9470,0.1000,0.0000,0
245,1.0490,0.9520,0.0960,0.0010,0
246,1.0830,0.9480,0.1270,0.0080,0
247,1.0850,0.9870,0.0980,0.0000,0
248,1.0400,0.9390,0.1000,0.0010,0
249,1.0400,0.9420,0.0970,0.0010,0
250,1.0470,0.9500,0.0960,0.0010,0
251,1.0300,0.9330,0.0970,0.0000,0
252,1.0550,0.9580,0.0970,0.0000,0
253,1.0380,0.9400,0.0970,0.0010,0
254,1.1130,0.9880,0.1240,0.0010,0
255,1.0530,0.9550,0.0980,0.0000,0
256,1.0420,0.9440,0.0970,0.0010,0
257,1.0350,0.9350,0.0990,0.0010,0
258,1.0440,0.9470,0.0960,0.0010,0
259,1.0320,0.9340,0.0970,0.0010,0
260,1.0320,0.9350,0.0970,0.0000,0
261,1.0320,0.9340,0.0970,0.0010,0
262,1.1310,1.0050,0.1250,0.0010,0
263,1.0520,0.9540,0.0970,0.0010,0
264,1.0310,0.9330,0.0970,0.0010,0
265,1.0290,0.9310,0.0970,0.0000,0
266,1.0290,0.9310,0.0970,0.0010,0
267,1.0290,0.9320,0.0970,0.0000,0
268,1.0350,0.9370,0.0970,0.0010,0
269,1.0830,0.9680,0.1140,0.0010,0
270,1.0990,0.9840,0.1140,0.0010,0
271,1.0370,0.9390,0.0970,0.0010,0
272,1.0310,0.9340,0.0970,0.0000,0
273,1.0340,0.9370,0.0970,0.0000,0
274,1.0310,0.9340,0.0960,0.0010,0
275,1.0250,0.9290,0.0960,0.0000,0
276,1.0260,0.9290,0.0960,0.0010,0
277,1.0970,0.9920,0.1040,0.0010,0
278,1.0830,0.9840,0.0970,0.0010,0
279,1.0420,0.9450,0.0960,0.0010,0
280,1.0350,0.9370,0.0970,0.0010,0
281,1.0320,0.9350,0.0970,0.0000,0
282,1.0280,0.9310,0.0970,0.0000,0
283,1.0300,0.9320,0.0960,0.0010,0
284,1.0430,0.9460,0.0960,0.0010,0
285,1.0860,0.9890,0.0970,0.0000,0
286,1.0910,0.9930,0.0970,0.0010,0
287,1.0380,0.9410,0.0970,0.0000,0
288,1.0500,0.9540,0.0960,0.0000,0
289,1.0320,0.9350,0.0960,0.0010,0
290,1.0290,0.9320,0.0960,0.0010,0
291,1.0220,0.9250,0.0970,0.0000,0
292,1.0410,0.9430,0.0970,0.0010,0
293,1.0720,0.9750,0.0970,0.0000,0
294,1.0860,0.9890,0.0970,0.0000,0
295,1.0290,0.9320,0.0970,0.0000,0
296,1.0270,0.9310,0.0960,0.0000,0
297,1.0250,0.9290,0.0960,0.0000,0
298,1.0330,0.9360,0.0960,0.0010,0
299,1.0450,0.9470,0.0970,0.0010,0
300,1.0470,0.9490,0.0970,0.0010,0
301,1.0270,0.9300,0.0970,0.0000,0
302,1.0460,0.9490,0.0970,0.0000,0
303,1.0400,0.9430,0.0960,0.0010,0
304,1.0310,0.9350,0.0960,0.0000,0
305,1.0260,0.9290,0.0970,0.0000,0
306,1.0210,0.9240,0.0960,0.0010,0
307,1.0220,0.9240,0.0970,0.0000,0
308,1.0500,0.9530,0.0960,0.0010,0
309,1.0310,0.9340,0.0970,0.0000,0
310,1.0590,0.9620,0.0960,0.0010,0
311,1.0570,0.9610,0.0960,0.0000,0
312,1.0560,0.9590,0.0970,0.0000,0
313,1.0240,0.9270,0.0960,0.0010,0
314,1.0250,0.9290,0.0960,0.0000,0
315,1.0320,0.9350,0.0960,0.0010,0
316,1.0690,0.9710,0.0970,0.0010,0
317,1.0270,0.9290,0.0980,0.0000,0
318,1.0860,0.9890,0.0970,0.0000,0
319,1.0300,0.9330,0.0970,0.0000,0
320,1.0280,0.9320,0.0960,0.0000,0
321,1.0290,0.9320,0.0960,0.0010,0
322,1.0560,0.9590,0.0960,0.0010,0
323,1.0360,0.9390,0.0970,0.0000,0
324,1.0460,0.9490,0.0960,0.0010,0
325,1.0270,0.9300,0.0970,0.0000,0
326,1.0670,0.9700,0.0970,0.0000,0
327,1.0340,0.9370,0.0960,0.0010,0
328,1.0350,0.9380,0.0960,0.0010,0
329,1.0310,0.9340,0.0970,0.0000,0
330,1.0290,0.9330,0.0960,0.0000,0
331,1.0740,0.9450,0.1280,0.0010,0
332,1.0490,0.9520,0.0970,0.0000,0
333,1.0550,0.9580,0.0960,0.0010,0
334,1.1680,1.0710,0.0970,0.0000,0
335,1.0340,0.9370,0.0970,0.0000,0
336,1.0280,0.9310,0.0970,0.0000,0
337,1.0260,0.9290,0.0960,0.0000,0
338,1.0380,0.9400,0.0980,0.0000,0
339,1.0840,0.9870,0.0970,0.0000,0
340,1.0360,0.9380,0.0980,0.0000,0
341,1.0500,0.9480,0.1010,0.0010,0
342,1.1090,1.0110,0.0970,0.0010,0
343,1.0290,0.9300,0.0980,0.0010,0
344,1.0590,0.9550,0.1030,0.0010,0
345,1.0500,0.9510,0.0980,0.0010,0
346,1.0880,0.9890,0.0980,0.0010,0
347,1.0330,0.9360,0.0970,0.0000,0
348,1.0690,0.9700,0.0990,0.0000,0
349,1.0680,0.9680,0.0990,0.0010,0
350,1.1210,1.0230,0.0970,0.0010,0
351,1.0600,0.9620,0.0980,0.0000,0
352,1.0340,0.9360,0.0970,0.0010,0
353,1.0320,0.9340,0.0970,0.0010,0
354,1.0770,0.9800,0.0970,0.0000,0
355,1.0320,0.9340,0.0970,0.0010,0
356,1.0260,0.9290,0.0960,0.0010,0
357,1.0270,0.9260,0.1010,0.0000,0
358,1.0780,0.9810,0.0970,0.0000,0
359,1.0360,0.9390,0.0970,0.0000,0
360,1.0290,0.9320,0.0960,0.0010,0
361,1.0580,0.9330,0.1240,0.0010,0
362,1.0470,0.9500,0.0970,0.0000,0
363,1.0260,0.9280,0.0980,0.0000,0
364,1.0260,0.9280,0.0970,0.0010,0
365,1.0270,0.9290,0.0970,0.0000,0
366,1.0880,0.9910,0.0970,0.0000,0
367,1.0360,0.9390,0.0970,0.0000,0
368,1.0370,0.9400,0.0960,0.0010,0
369,1.0970,1.0000,0.0970,0.0000,0
370,1.0340,0.9350,0.0980,0.0010,0
