iteration,temps_total_ms,temps_fourmis_ms,temps_evap_ms,temps_update_ms,temps_render_ms,food_quantity
244,32.128,2.495,0.690,0.009,28.924,0
245,33.069,2.062,0.510,0.006,30.483,0
246,34.670,2.025,0.557,0.012,32.068,0
247,32.313,1.969,0.488,0.006,29.844,0
248,33.557,2.124,0.542,0.007,30.876,0
249,32.328,2.356,0.561,0.007,29.396,0
250,34.466,1.947,0.475,0.006,32.031,0
251,34.193,2.405,0.539,0.008,31.233,0
252,33.637,2.426,0.710,0.016,30.476,0
253,34.350,2.857,0.827,0.031,30.624,0
254,30.000,2.714,0.705,0.018,26.552,0
255,34.660,2.039,0.543,0.012,32.059,0
256,32.733,2.394,0.581,0.008,29.743,0
257,33.159,2.179,0.519,0.006,30.447,0
258,34.225,2.333,0.654,0.008,31.223,0
259,33.411,2.366,0.645,0.009,30.382,0
260,33.250,2.937,0.765,0.017,29.515,0
261,34.934,2.338,0.619,0.009,31.959,0
262,30.525,3.037,0.823,0.010,26.645,0
263,33.435,2.071,0.529,0.006,30.821,0
264,33.873,2.459,0.532,0.007,30.867,0
265,33.068,2.424,0.524,0.009,30.103,0
266,32.835,2.912,0.586,0.008,29.319,0
267,34.785,2.249,0.662,0.009,31.856,0
268,33.368,2.275,0.614,0.006,30.463,0
269,32.887,2.541,0.657,0.009,29.670,0
270,32.157,2.241,0.606,0.014,29.288,0
271,33.823,2.204,0.515,0.006,31.090,0
272,32.639,2.243,0.638,0.008,29.736,0
273,33.801,2.100,0.547,0.009,31.137,0
274,33.570,2.146,0.517,0.008,30.892,0
275,32.806,2.367,0.603,0.015,29.812,0
276,33.507,2.007,0.506,0.007,30.979,0
277,34.589,2.223,0.570,0.014,31.775,0
278,33.043,3.085,0.828,0.008,29.113,0
279,32.652,2.693,0.641,0.009,29.300,0
280,33.670,2.227,0.538,0.008,30.889,0
281,34.181,2.368,0.651,0.016,31.137,0
282,31.812,2.659,0.750,0.019,28.372,0
283,34.312,2.093,0.503,0.007,31.701,0
284,33.981,2.481,0.713,0.017,30.760,0
285,32.961,2.884,0.795,0.010,29.262,0
286,32.132,2.707,0.719,0.008,28.688,0
287,33.193,2.151,0.496,0.007,30.532,0
288,34.545,2.199,0.522,0.006,31.810,0
289,31.605,2.650,0.730,0.019,28.196,0
290,33.707,2.073,0.527,0.007,31.093,0
291,33.911,2.287,0.542,0.006,31.059,0
292,32.866,2.742,0.805,0.008,29.301,0
293,33.093,2.282,0.520,0.007,30.276,0
294,33.747,2.186,0.535,0.007,31.010,0
295,32.356,2.431,0.642,0.017,29.257,0
296,34.934,2.075,0.572,0.006,32.274,0
297,33.591,2.595,0.661,0.007,30.318,0
298,34.495,2.683,0.740,0.020,31.041,0
299,31.906,2.678,0.677,0.008,28.533,0
300,33.436,2.284,0.578,0.008,30.554,0
301,34.025,3.211,0.854,0.009,29.941,0
302,31.115,2.894,0.700,0.015,27.496,0
303,33.158,2.139,0.512,0.007,30.323,0
304,33.254,2.060,0.583,0.013,29.828,0
305,33.558,2.200,0.571,0.012,30.590,0
306,33.388,1.856,0.465,0.013,30.893,0
307,34.245,2.119,0.498,0.006,31.445,0
308,34.126,2.510,0.689,0.009,30.488,0
309,32.735,2.800,0.760,0.008,28.939,0
310,32.144,2.316,0.655,0.013,28.824,0
311,33.750,2.186,0.510,0.007,30.784,0
312,34.143,2.303,0.681,0.015,30.679,0
313,33.992,2.605,0.697,0.008,30.430,0
